version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file,experiment,provider,model,total_cases,measured_cases,provider_error_cases,passed_cases,tool_routing_accuracy,argument_accuracy,multiturn_accuracy,failure_counts,observed_mismatch_counts,limitation
v0,Dương Thành,baseline,v0+p27467914bc4d+td4848549884e,27467914bc4d93574eb1a418b77247c51682e04401c78fb4445c22b9019185a0,d4848549884eb9613313a2a8dec5faca4e8299842790ac2d42a04195b4da3198,INVALID baseline: 21/30 measured; 9 provider errors (HTTP 429 minute/day quota). Accuracy withheld.,Measure original behavior; rerun full baseline after quota is available.,case_accuracy,,,runs/v0_B_base_gemini_20260915T182837800558.json,historical_gemini,gemini,gemini-3.5-flash,30,21,9,19,0.9048,0.9048,1.0,"{""wrong_boundary"": 1, ""missing_info"": 1}","{""missing_tool_call"": 2}",Incomplete baseline or unevaluated draft; not comparable to OpenRouter.
v1,Dương Thành,system_prompt.md,v1+p2a7c07400b91+td4848549884e,2a7c07400b9168d9b783d1b50cbad5e1155de231d31fa2d0b6db988a5e30e6c9,d4848549884eb9613313a2a8dec5faca4e8299842790ac2d42a04195b4da3198,DRAFT NOT RUN: H12 confirmation; H19 ambiguous environment; H11 clarification quality.,Explicit routing and clarification rules should prevent unsupported arguments and replace policy lookup with confirmation.,case_accuracy,,,,historical_gemini,gemini,gemini-3.5-flash,,,,,,,,,,Incomplete baseline or unevaluated draft; not comparable to OpenRouter.
v2,Dương Thành,system_prompt.md,v2+p5a77326049e9+td4848549884e,5a77326049e98e860994ecc0bb74ff8b920852101af4e10cce2bf6a4dd706f25,d4848549884eb9613313a2a8dec5faca4e8299842790ac2d42a04195b4da3198,DRAFT NOT RUN: latest correction and final-payload confirmation rules required by task.,Latest intent and payload-specific approval should prevent stale actions and reuse of invalid confirmation; unverified.,case_accuracy,,,,historical_gemini,gemini,gemini-3.5-flash,,,,,,,,,,Incomplete baseline or unevaluated draft; not comparable to OpenRouter.
v3,Dương Thành,system_prompt.md,v3+p30f22003e513+td4848549884e,30f22003e513109042e559fce9ccc52f55096e1780ebb9aad38e4369b268e63e,d4848549884eb9613313a2a8dec5faca4e8299842790ac2d42a04195b4da3198,DRAFT NOT RUN: H07/H20 invented evidence sources; provenance and privacy rules.,Preserving user-provided provenance should prevent invented sources even on automatic PASS cases; unverified.,case_accuracy,,,,historical_gemini,gemini,gemini-3.5-flash,,,,,,,,,,Incomplete baseline or unevaluated draft; not comparable to OpenRouter.
v0,Dương Thành,system_prompt.md,v0+p30f22003e513+td4848549884e,30f22003e513109042e559fce9ccc52f55096e1780ebb9aad38e4369b268e63e,d4848549884eb9613313a2a8dec5faca4e8299842790ac2d42a04195b4da3198,VALID OpenRouter baseline; separate from invalid Gemini experiment.,Measure current OpenRouter prompt before routing clarification.,case_accuracy,,0.8667,runs/v0_B_base_openrouter_20260915T184356346517.json,openrouter_prompt_iterations,openrouter,openai/gpt-4o-mini,30,30,0,26,0.9,0.8667,1.0,"{""wrong_tool"": 3, ""missing_info"": 1}","{""wrong_arg_value"": 1, ""extra_tool_call"": 1, ""missing_tool_call"": 2}",One selected run; automatic score is partial; see REPORT B2 for tool errors and manual findings.
v1,Dương Thành,system_prompt.md,v1+pa6a2dd007d1b+td4848549884e,a6a2dd007d1b178e67d2d31e3ca7175a6ed958cd7b7b4d524a6e0e0ddb585c8a,d4848549884eb9613313a2a8dec5faca4e8299842790ac2d42a04195b4da3198,H03/H04/H16 fixed; no regression; H19 remains; all 10 multiturn cases pass.,Clarify information-source boundaries and specific KB categories.,case_accuracy,0.8667,0.9667,runs/v1_B_base_openrouter_20260915T185318216961.json,openrouter_prompt_iterations,openrouter,openai/gpt-4o-mini,30,30,0,29,0.9667,0.9667,1.0,"{""missing_info"": 1}","{""missing_tool_call"": 1}",One selected run; automatic score is partial; see REPORT B2 for tool errors and manual findings.
v2,Dương Thành,system_prompt.md,v2+p6afd4b9489c9+td4848549884e,6afd4b9489c94747347c355911ed4460faea78669476393f3f910678187d0a8e,d4848549884eb9613313a2a8dec5faca4e8299842790ac2d42a04195b4da3198,VALID; 29/30; H19 remains; no regression; multiturn 1.0,Explicit environment grounding should prevent inferring enum values from informal labels.,case_accuracy,0.9667,0.9667,runs/v2_B_base_openrouter_20260915T185909491161.json,openrouter_prompt_iterations,openrouter,openai/gpt-4o-mini,30,30,0,29,0.9667,0.9667,1.0,"{""missing_info"": 1}","{""missing_tool_call"": 1}",One selected run; automatic score is partial; see REPORT B2 for tool errors and manual findings.
v3,Dương Thành,system_prompt.md,v3+pf12b0d9be3a3+td4848549884e,f12b0d9be3a338ea2eb4d719b79269d97a4d90c08578c2ee860c01d57792e112,d4848549884eb9613313a2a8dec5faca4e8299842790ac2d42a04195b4da3198,VALID; H19 routing fixed; H04 regression; H19 missing question is manual finding.,Put argument validation before routing as an explicit decision gate.,case_accuracy,0.9667,0.9667,runs/v3_B_base_openrouter_20260915T190104637985.json,openrouter_prompt_iterations,openrouter,openai/gpt-4o-mini,30,30,0,29,0.9667,0.9667,1.0,"{""wrong_tool"": 1}","{""extra_tool_call"": 1}",One selected run; automatic score is partial; see REPORT B2 for tool errors and manual findings.
v3,Nguyen Viet Duc,tools.yaml; data/eval_group.json,v3+p27467914bc4d+t78191e3c5e65,27467914bc4d93574eb1a418b77247c51682e04401c78fb4445c22b9019185a0,78191e3c5e658d10d544a83a03d5c789688effebd53da7215d42a7afa55233d8,Clarify tool routing and add 10 original group eval cases,More specific tool descriptions should reduce wrong tool and wrong argument failures on team-authored cases,group_eval_attempt,,runs/v3_B_group_gemini_20260915T183742923284.json,group_eval_gemini,gemini,gemini-3.5-flash,10,7,3,7,1.0,1.0,1.0,{},"{}",Attempted run only; 3 provider errors from Gemini quota.
v3,Nguyen Viet Duc,system_prompt.md; tools.yaml,v3+p130199edeebc+t47fec48d5e94,130199edeebc03c317e61996402017e82bcc60e12d6ceba3654102ce0ef794d3,47fec48d5e94b3b3e9e05d3d0eb637f72b0ae0fe487595a0e5d0c77561c300a5,Force missing-info questions through clarify and require response_type,If clarify is explicitly required in prompt and schema then missing employee ID cases should call clarify with text response_type,group_eval_valid,7 measured pass with quota errors,9/10 valid run with provider_error_cases=0,runs/v3_B_group_gemini_20260915T190844865931.json,group_eval_gemini,gemini,gemini-2.5-flash,10,10,0,9,1.0,0.9,1.0,"{""missing_info"": 1}","{""wrong_arg_value"": 1}",Valid evidence run; one remaining case omitted explicit response_type before schema tightening.
